# epoch test_accuracy train_avg_loss test_avg_loss train_accuracy
0 7.7882 1.85e+00 1.85e+00 9.8449
1 75.0779 9.67e-01 7.32e-01 62.7782
2 74.2679 7.55e-01 7.54e-01 70.9598
3 74.8910 6.80e-01 7.41e-01 74.6909
4 80.3115 6.27e-01 6.38e-01 75.5675
5 80.1869 5.72e-01 6.54e-01 77.7029
6 78.5670 5.60e-01 7.05e-01 78.3322
7 81.6199 5.03e-01 6.14e-01 80.2652
8 80.8723 4.71e-01 6.42e-01 81.5914
9 75.5763 4.47e-01 7.46e-01 82.6703
10 82.6168 4.35e-01 5.74e-01 83.2547
11 83.3022 4.11e-01 5.97e-01 84.0414
12 81.4330 4.06e-01 5.94e-01 84.9180
13 81.9938 3.76e-01 5.73e-01 86.0868
14 82.1184 3.70e-01 5.90e-01 85.5698
15 80.6231 3.63e-01 6.20e-01 86.0643
16 81.1838 3.61e-01 6.18e-01 85.8620
17 81.8069 3.32e-01 5.92e-01 87.6601
18 80.3115 3.23e-01 6.90e-01 87.7950
19 78.9408 3.26e-01 6.88e-01 87.5028
20 80.2492 3.20e-01 6.80e-01 87.7051
21 80.0000 3.07e-01 6.56e-01 88.6267
22 80.1246 3.03e-01 6.07e-01 88.4693
23 80.1246 2.93e-01 6.49e-01 88.9189
24 81.2461 2.76e-01 6.71e-01 89.5257
25 80.4361 2.83e-01 6.58e-01 89.7280
26 81.3084 2.71e-01 6.51e-01 89.8404
27 80.8100 2.74e-01 6.68e-01 89.6156
28 78.4424 2.62e-01 7.49e-01 90.3349
29 80.1246 2.65e-01 7.32e-01 89.9303
30 80.7477 2.57e-01 7.16e-01 90.7395
31 80.0000 2.51e-01 7.55e-01 90.5147
32 79.1277 2.45e-01 7.81e-01 90.6046
33 80.4984 2.50e-01 7.89e-01 90.4248
34 79.2523 2.39e-01 7.70e-01 91.0092
35 78.8785 2.38e-01 7.41e-01 90.6271
36 76.8847 2.36e-01 8.01e-01 91.1441
37 80.1869 2.22e-01 7.64e-01 91.3014
38 79.3146 2.21e-01 7.89e-01 91.6835
39 80.4361 2.21e-01 7.48e-01 91.8184
40 79.6262 2.15e-01 8.85e-01 92.2230
41 79.8131 2.09e-01 8.08e-01 91.7060
42 78.5047 2.10e-01 8.15e-01 92.1555
43 79.0031 1.99e-01 9.22e-01 92.3354
44 78.1931 1.90e-01 8.64e-01 92.7624
45 78.4424 1.97e-01 9.05e-01 92.5152
46 79.3769 1.91e-01 8.52e-01 92.9647
47 77.0093 1.93e-01 9.44e-01 92.5377
48 79.1900 1.94e-01 8.66e-01 92.9872
49 78.5047 1.96e-01 9.12e-01 92.4477
50 80.7477 1.92e-01 8.93e-01 92.8748
51 78.4424 1.82e-01 8.85e-01 92.8298
52 78.6916 1.81e-01 8.87e-01 93.3243
53 79.3769 1.84e-01 8.40e-01 93.0097
54 78.0685 1.83e-01 9.50e-01 93.3019
55 79.9377 1.69e-01 8.75e-01 93.5716
56 78.8785 1.74e-01 9.66e-01 93.4592
57 79.8754 1.82e-01 9.33e-01 93.0546
58 79.8131 1.68e-01 9.89e-01 93.5941
59 79.0654 1.57e-01 9.59e-01 94.1560
60 79.3769 1.58e-01 8.83e-01 94.0436
61 77.6947 1.64e-01 9.43e-01 93.8188
62 77.5701 1.59e-01 9.98e-01 93.6840
63 79.5016 1.58e-01 9.74e-01 94.0661
64 78.2555 1.55e-01 9.94e-01 94.4931
