# epoch test_accuracy train_avg_loss test_avg_loss train_accuracy
0 30.6542 1.78e+00 1.80e+00 28.7705
1 67.5389 9.54e-01 8.53e-01 63.4749
2 75.5763 7.55e-01 6.92e-01 71.3194
3 80.8100 6.85e-01 6.41e-01 73.4997
4 81.3707 6.31e-01 6.11e-01 75.4327
5 77.8193 5.90e-01 6.68e-01 77.3432
6 81.1838 5.57e-01 6.08e-01 78.4671
7 81.6199 5.32e-01 5.73e-01 79.9730
8 83.1776 5.27e-01 5.22e-01 78.8267
9 80.4361 4.94e-01 5.81e-01 80.4450
10 77.1340 4.74e-01 7.33e-01 80.9845
11 79.8754 4.67e-01 6.04e-01 81.9510
12 82.6791 4.56e-01 5.28e-01 82.2657
13 79.6885 4.38e-01 6.09e-01 82.6703
14 79.2523 4.19e-01 6.22e-01 83.7492
15 82.6791 4.12e-01 5.30e-01 84.6258
16 79.6885 4.10e-01 6.03e-01 84.2437
17 81.1215 3.82e-01 6.00e-01 85.4799
18 81.9315 3.92e-01 5.42e-01 84.7831
19 78.0062 3.66e-01 6.56e-01 86.6037
20 81.8692 3.59e-01 5.64e-01 86.8959
21 81.9315 3.65e-01 5.50e-01 86.3115
22 80.0623 3.64e-01 5.96e-01 86.1317
23 79.9377 3.50e-01 6.09e-01 86.3565
24 80.3115 3.52e-01 5.86e-01 86.6262
25 80.7477 3.55e-01 6.30e-01 86.9634
26 80.5607 3.50e-01 6.26e-01 86.5588
27 81.0592 3.26e-01 6.03e-01 88.0423
28 82.7414 3.30e-01 5.32e-01 87.4803
29 78.0062 3.25e-01 6.81e-01 87.7725
30 80.3115 3.35e-01 5.65e-01 87.2780
31 80.3115 3.25e-01 5.81e-01 88.0423
32 79.8754 3.30e-01 5.99e-01 87.6377
33 79.1900 3.31e-01 6.40e-01 87.4354
34 78.6293 3.21e-01 6.43e-01 87.9748
35 81.2461 3.39e-01 6.11e-01 87.6152
36 80.5607 3.36e-01 5.89e-01 87.4803
37 78.4424 3.16e-01 7.25e-01 87.8400
38 79.3769 3.19e-01 6.27e-01 88.0872
39 78.5047 3.05e-01 6.85e-01 88.5368
40 79.3769 3.03e-01 6.43e-01 88.2895
41 77.8193 3.10e-01 7.96e-01 87.9748
42 79.5016 3.07e-01 6.29e-01 88.5592
43 80.2492 3.19e-01 5.92e-01 88.0423
44 77.6947 3.08e-01 7.00e-01 89.0088
45 79.0031 3.02e-01 6.14e-01 88.4918
46 80.6854 2.94e-01 6.39e-01 88.8964
47 80.5607 3.09e-01 6.27e-01 88.1996
48 78.5047 2.98e-01 6.63e-01 89.0537
49 80.2492 2.91e-01 6.48e-01 89.1211
50 78.0685 2.88e-01 6.80e-01 89.0537
51 78.5670 3.15e-01 7.20e-01 88.2670
52 80.0623 2.87e-01 5.80e-01 89.2335
53 75.9502 2.84e-01 7.31e-01 88.6941
54 78.6293 2.97e-01 6.30e-01 88.5592
55 80.0000 3.02e-01 5.81e-01 88.4244
56 80.5607 2.89e-01 6.16e-01 88.8514
57 77.1963 2.83e-01 7.27e-01 89.2785
58 77.7570 2.80e-01 7.25e-01 89.4808
59 81.5576 2.76e-01 5.98e-01 89.4583
60 79.4393 2.80e-01 6.79e-01 89.3909
61 80.7477 2.81e-01 5.64e-01 89.9078
62 79.4393 2.92e-01 6.27e-01 89.2560
63 76.1371 2.78e-01 7.92e-01 89.6831
64 79.2523 2.93e-01 7.23e-01 89.1886
65 80.3115 2.74e-01 6.14e-01 89.7730
66 79.9377 2.82e-01 6.16e-01 89.6831
67 79.8131 2.77e-01 6.13e-01 89.7056
68 79.7508 2.83e-01 6.40e-01 89.0987
69 79.0654 2.91e-01 6.49e-01 88.5368
70 75.6386 2.73e-01 8.15e-01 89.7955
71 81.0592 2.96e-01 5.82e-01 89.0312
72 78.3178 2.84e-01 6.75e-01 89.3234
73 76.5109 2.74e-01 7.33e-01 89.6606
74 78.5047 2.78e-01 7.01e-01 89.7505
75 78.7539 2.74e-01 7.20e-01 89.5257
76 80.8100 2.74e-01 6.22e-01 89.5932
77 79.5016 2.66e-01 6.57e-01 89.7056
78 78.8785 2.67e-01 6.30e-01 90.0427
79 80.5607 2.88e-01 5.93e-01 89.1211
80 78.0685 2.65e-01 6.76e-01 90.3574
81 79.9377 2.75e-01 6.35e-01 89.6156
82 76.0748 2.83e-01 7.48e-01 89.1886
83 76.5109 2.94e-01 6.80e-01 88.9189
84 79.6262 2.80e-01 6.27e-01 89.4583
85 78.8785 2.73e-01 6.61e-01 90.2225
86 77.7570 2.81e-01 7.10e-01 88.9863
87 79.3769 2.72e-01 6.71e-01 89.7280
