# epoch test_accuracy train_avg_loss test_avg_loss
0 50 5.01e-02 4.11e-02
1 58 8.72e-02 3.26e-02
2 66 1.18e-01 2.83e-02
3 68 1.45e-01 2.57e-02
4 78 1.70e-01 2.39e-02
5 74 1.94e-01 2.25e-02
6 78 2.16e-01 2.13e-02
7 78 2.37e-01 2.04e-02
8 80 2.57e-01 1.96e-02
9 82 2.77e-01 1.89e-02
10 81 2.95e-01 1.82e-02
11 82 3.13e-01 1.76e-02
12 83 3.31e-01 1.71e-02
13 82 3.48e-01 1.67e-02
14 84 3.64e-01 1.62e-02
15 84 3.81e-01 1.58e-02
16 85 3.96e-01 1.55e-02
17 84 4.12e-01 1.51e-02
18 85 4.27e-01 1.48e-02
19 83 4.42e-01 1.45e-02
