# epoch test_accuracy train_avg_loss test_avg_loss
0 15 7.04e-02 6.09e-02
1 27 1.11e-01 5.34e-02
2 26 1.43e-01 5.07e-02
3 27 1.72e-01 4.93e-02
4 28 1.98e-01 4.89e-02
5 26 2.22e-01 4.91e-02
6 27 2.44e-01 4.89e-02
7 30 2.66e-01 4.91e-02
8 32 2.87e-01 4.95e-02
9 34 3.07e-01 4.98e-02
10 35 3.26e-01 4.97e-02
11 34 3.45e-01 5.02e-02
12 35 3.63e-01 5.04e-02
13 33 3.81e-01 5.05e-02
14 33 3.99e-01 5.05e-02
15 34 4.16e-01 5.09e-02
16 35 4.32e-01 5.09e-02
17 35 4.49e-01 5.13e-02
18 34 4.65e-01 5.13e-02
19 36 4.80e-01 5.16e-02
