# epoch test_accuracy train_avg_loss test_avg_loss
0 58 3.15e-02 4.77e-02
1 61 5.92e-02 4.54e-02
2 64 8.59e-02 4.50e-02
3 59 1.12e-01 4.20e-02
4 63 1.38e-01 4.11e-02
5 63 1.63e-01 4.09e-02
6 59 1.89e-01 4.18e-02
7 61 2.14e-01 4.22e-02
8 61 2.39e-01 4.28e-02
9 57 2.64e-01 4.35e-02
10 63 2.89e-01 4.42e-02
11 62 3.14e-01 4.18e-02
12 61 3.39e-01 4.48e-02
13 62 3.64e-01 4.25e-02
14 60 3.89e-01 4.50e-02
15 61 4.13e-01 4.09e-02
16 62 4.38e-01 4.02e-02
17 59 4.63e-01 4.36e-02
18 66 4.87e-01 3.99e-02
19 63 5.12e-01 4.15e-02
