# epoch test_accuracy train_avg_loss test_avg_loss
0 54 3.08e-02 5.68e-02
1 56 2.57e-02 5.85e-02
2 55 2.47e-02 6.13e-02
3 56 2.42e-02 6.05e-02
4 56 2.39e-02 6.01e-02
5 56 2.35e-02 6.10e-02
6 56 2.34e-02 5.89e-02
7 56 2.34e-02 6.06e-02
8 55 2.31e-02 6.22e-02
9 58 2.30e-02 5.74e-02
10 56 2.29e-02 5.80e-02
11 54 2.27e-02 5.99e-02
12 56 2.27e-02 6.02e-02
13 59 2.26e-02 5.74e-02
14 58 2.26e-02 5.83e-02
15 56 2.26e-02 5.89e-02
16 56 2.25e-02 6.02e-02
17 57 2.24e-02 5.75e-02
18 57 2.24e-02 6.03e-02
19 57 2.24e-02 5.98e-02
