# epoch test_accuracy train_avg_loss test_avg_loss
0 85 3.73e-02 2.37e-02
1 82 1.84e-02 1.73e-02
2 87 1.37e-02 1.32e-02
3 85 1.17e-02 1.19e-02
4 86 1.06e-02 1.11e-02
5 87 1.03e-02 1.09e-02
6 88 9.91e-03 1.14e-02
7 87 1.03e-02 9.70e-03
8 87 9.34e-03 9.34e-03
9 88 9.28e-03 9.66e-03
10 88 9.35e-03 9.32e-03
11 88 8.69e-03 8.97e-03
12 88 8.33e-03 9.22e-03
13 90 8.44e-03 9.29e-03
14 90 8.20e-03 8.74e-03
15 89 8.01e-03 8.26e-03
16 88 7.42e-03 8.19e-03
17 89 7.68e-03 9.00e-03
18 89 7.24e-03 7.83e-03
19 87 7.69e-03 9.02e-03
20 89 7.41e-03 7.84e-03
21 90 7.20e-03 7.28e-03
22 90 7.09e-03 7.37e-03
23 89 6.92e-03 7.26e-03
24 90 6.68e-03 7.57e-03
25 89 7.06e-03 7.49e-03
26 89 6.81e-03 7.67e-03
27 91 6.93e-03 6.52e-03
28 90 6.97e-03 6.66e-03
29 91 6.43e-03 6.51e-03
30 91 5.91e-03 6.28e-03
31 91 5.75e-03 6.52e-03
32 91 5.84e-03 6.06e-03
33 92 5.79e-03 5.83e-03
34 92 5.69e-03 5.97e-03
35 92 5.86e-03 5.71e-03
36 91 5.97e-03 6.15e-03
37 92 5.35e-03 5.62e-03
38 93 5.36e-03 5.29e-03
39 93 5.08e-03 5.19e-03
40 92 5.31e-03 5.45e-03
41 93 5.06e-03 5.28e-03
42 92 4.81e-03 5.56e-03
43 90 5.08e-03 5.93e-03
44 92 4.94e-03 5.70e-03
45 93 5.15e-03 5.32e-03
46 93 4.63e-03 4.67e-03
47 94 4.42e-03 4.70e-03
48 93 4.71e-03 4.47e-03
49 94 5.02e-03 5.12e-03
50 94 5.25e-03 4.71e-03
51 93 4.26e-03 4.71e-03
52 93 4.35e-03 4.46e-03
53 94 4.28e-03 4.33e-03
54 93 4.74e-03 5.30e-03
55 94 4.54e-03 3.96e-03
56 95 3.83e-03 3.75e-03
57 95 3.73e-03 4.55e-03
58 95 3.92e-03 3.64e-03
59 96 3.81e-03 3.59e-03
60 96 3.64e-03 3.76e-03
61 95 3.92e-03 4.00e-03
62 96 3.28e-03 3.43e-03
63 97 3.20e-03 3.23e-03
64 96 3.40e-03 3.43e-03
65 96 3.38e-03 3.26e-03
66 95 3.41e-03 3.72e-03
67 96 3.39e-03 3.00e-03
68 96 3.12e-03 2.96e-03
69 97 3.22e-03 2.97e-03
70 96 3.27e-03 3.32e-03
71 96 3.21e-03 3.05e-03
72 96 3.21e-03 2.80e-03
73 96 3.39e-03 4.08e-03
74 97 3.16e-03 2.96e-03
75 96 3.34e-03 2.83e-03
76 96 3.15e-03 2.86e-03
77 96 2.86e-03 2.82e-03
78 97 2.74e-03 2.63e-03
79 97 2.66e-03 2.81e-03
80 97 2.54e-03 2.86e-03
81 96 3.19e-03 3.31e-03
82 97 2.82e-03 2.50e-03
83 97 2.83e-03 3.37e-03
84 96 2.93e-03 2.52e-03
85 96 2.59e-03 2.89e-03
86 97 2.58e-03 2.18e-03
87 97 2.26e-03 2.17e-03
88 97 2.31e-03 2.35e-03
89 96 2.76e-03 2.48e-03
90 97 2.48e-03 2.52e-03
91 97 2.30e-03 2.52e-03
92 97 2.24e-03 2.46e-03
93 98 2.17e-03 2.02e-03
94 97 2.15e-03 2.26e-03
95 97 2.19e-03 2.09e-03
96 98 1.90e-03 2.04e-03
97 97 1.97e-03 1.95e-03
98 98 2.32e-03 1.81e-03
99 98 1.96e-03 1.85e-03
100 98 2.17e-03 2.12e-03
101 97 2.08e-03 2.08e-03
102 98 1.95e-03 1.69e-03
103 97 1.85e-03 2.06e-03
104 98 1.88e-03 2.14e-03
105 98 1.79e-03 1.74e-03
106 97 1.72e-03 2.05e-03
107 97 2.04e-03 1.78e-03
108 98 1.68e-03 1.90e-03
109 99 1.83e-03 1.63e-03
110 98 1.71e-03 1.61e-03
111 98 1.68e-03 1.60e-03
112 99 1.45e-03 1.51e-03
113 99 1.49e-03 1.43e-03
114 98 1.31e-03 1.75e-03
115 98 1.55e-03 2.04e-03
116 98 1.74e-03 1.42e-03
117 98 1.62e-03 1.96e-03
118 98 1.56e-03 1.47e-03
119 97 1.36e-03 1.66e-03
120 99 1.43e-03 1.26e-03
121 98 1.31e-03 1.38e-03
122 98 1.26e-03 1.30e-03
123 98 1.42e-03 1.46e-03
124 98 1.57e-03 1.54e-03
125 98 1.55e-03 1.41e-03
126 99 1.48e-03 1.36e-03
127 97 1.32e-03 1.91e-03
128 98 1.69e-03 1.64e-03
129 98 1.65e-03 1.36e-03
130 97 1.70e-03 2.47e-03
131 99 1.82e-03 1.32e-03
132 99 1.41e-03 1.18e-03
133 99 1.32e-03 1.32e-03
134 98 1.36e-03 1.73e-03
135 98 1.25e-03 1.25e-03
136 99 1.18e-03 1.11e-03
137 99 1.19e-03 1.13e-03
138 99 1.05e-03 1.10e-03
139 99 1.12e-03 1.01e-03
140 99 9.87e-04 1.13e-03
141 99 1.17e-03 9.85e-04
142 99 1.10e-03 9.58e-04
143 99 1.02e-03 1.18e-03
144 99 1.05e-03 1.02e-03
145 99 1.05e-03 1.08e-03
146 99 1.22e-03 1.63e-03
147 99 1.10e-03 1.00e-03
148 99 1.10e-03 1.07e-03
149 99 1.06e-03 1.16e-03
150 99 1.13e-03 1.03e-03
151 99 1.13e-03 8.47e-04
152 99 1.03e-03 1.07e-03
153 99 1.06e-03 9.85e-04
154 99 1.01e-03 8.84e-04
155 99 9.67e-04 8.91e-04
156 99 8.30e-04 9.34e-04
157 97 1.06e-03 1.87e-03
158 99 1.00e-03 1.09e-03
159 99 9.98e-04 9.66e-04
160 99 8.76e-04 8.78e-04
161 99 9.71e-04 9.78e-04
162 98 9.59e-04 1.24e-03
163 99 9.30e-04 8.48e-04
164 98 8.63e-04 1.24e-03
165 99 1.03e-03 1.03e-03
166 99 9.26e-04 7.89e-04
167 99 8.83e-04 8.45e-04
168 99 1.01e-03 1.09e-03
169 99 8.98e-04 7.86e-04
170 99 7.31e-04 7.96e-04
171 99 8.24e-04 9.12e-04
172 99 1.00e-03 1.13e-03
173 99 9.80e-04 7.04e-04
174 99 7.40e-04 9.76e-04
175 99 7.09e-04 7.86e-04
176 99 8.51e-04 8.43e-04
177 99 8.44e-04 9.05e-04
178 99 9.55e-04 1.18e-03
179 99 8.38e-04 7.06e-04
180 99 7.76e-04 7.79e-04
181 99 8.15e-04 6.89e-04
182 99 6.81e-04 6.18e-04
183 99 7.00e-04 8.28e-04
184 99 7.52e-04 8.16e-04
185 99 6.92e-04 9.01e-04
186 99 9.40e-04 1.11e-03
187 99 8.59e-04 8.14e-04
188 99 8.06e-04 8.92e-04
189 99 9.55e-04 1.06e-03
190 99 8.79e-04 1.27e-03
191 99 9.08e-04 6.17e-04
192 99 8.19e-04 5.53e-04
193 99 6.31e-04 8.08e-04
194 99 6.88e-04 6.42e-04
195 99 5.66e-04 6.72e-04
196 99 5.92e-04 5.59e-04
197 99 5.63e-04 5.86e-04
198 99 5.57e-04 6.79e-04
199 99 6.24e-04 7.15e-04
