# epoch test_accuracy train_avg_loss test_avg_loss train_accuracy
0 12.0000 1.86e+00 1.86e+00 12.0000
1 81.0000 8.60e-01 6.31e-01 66.0000
2 82.0000 6.12e-01 5.61e-01 77.0000
3 82.0000 5.13e-01 5.58e-01 80.0000
4 76.0000 4.64e-01 6.30e-01 82.0000
5 79.0000 4.52e-01 6.17e-01 83.0000
6 78.0000 4.00e-01 5.88e-01 85.0000
7 80.0000 3.76e-01 5.69e-01 85.0000
8 81.0000 3.49e-01 5.25e-01 87.0000
9 78.0000 3.27e-01 6.34e-01 87.0000
10 79.0000 2.99e-01 5.64e-01 88.0000
11 80.0000 2.91e-01 6.32e-01 89.0000
12 78.0000 2.79e-01 6.14e-01 89.0000
13 78.0000 2.82e-01 6.40e-01 89.0000
14 78.0000 2.71e-01 6.45e-01 89.0000
15 79.0000 2.78e-01 5.69e-01 89.0000
16 78.0000 2.79e-01 6.37e-01 89.0000
17 78.0000 2.69e-01 7.03e-01 90.0000
18 77.0000 2.45e-01 7.00e-01 90.0000
19 78.0000 2.36e-01 6.96e-01 91.0000
20 77.0000 2.48e-01 7.12e-01 91.0000
21 77.0000 2.24e-01 7.03e-01 91.0000
22 77.0000 2.20e-01 7.63e-01 91.0000
23 76.0000 2.09e-01 7.98e-01 92.0000
24 78.0000 2.16e-01 7.38e-01 92.0000
25 78.0000 2.03e-01 7.56e-01 92.0000
26 77.0000 2.00e-01 7.68e-01 92.0000
27 78.0000 1.95e-01 7.77e-01 93.0000
28 77.0000 1.90e-01 8.28e-01 92.0000
29 77.0000 1.86e-01 8.37e-01 93.0000
30 76.0000 1.88e-01 8.73e-01 92.0000
31 78.0000 1.96e-01 8.36e-01 92.0000
32 78.0000 1.90e-01 7.36e-01 92.0000
33 77.0000 1.78e-01 9.06e-01 93.0000
34 77.0000 1.68e-01 8.55e-01 93.0000
35 77.0000 1.72e-01 8.43e-01 93.0000
36 78.0000 1.73e-01 8.23e-01 93.0000
37 78.0000 1.79e-01 7.87e-01 93.0000
38 76.0000 1.74e-01 8.90e-01 93.0000
39 77.0000 1.73e-01 8.52e-01 93.0000
40 76.0000 1.76e-01 8.93e-01 93.0000
41 76.0000 1.75e-01 9.03e-01 93.0000
42 75.0000 1.78e-01 8.98e-01 93.0000
43 77.0000 1.68e-01 8.66e-01 93.0000
44 77.0000 1.67e-01 8.73e-01 93.0000
45 76.0000 1.77e-01 9.12e-01 93.0000
46 75.0000 1.78e-01 9.90e-01 92.0000
47 76.0000 1.64e-01 9.26e-01 93.0000
48 75.0000 1.61e-01 9.34e-01 93.0000
49 75.0000 1.57e-01 1.01e+00 93.0000
50 78.0000 1.55e-01 8.69e-01 94.0000
51 76.0000 1.35e-01 1.03e+00 94.0000
52 76.0000 1.49e-01 9.29e-01 94.0000
53 78.0000 1.37e-01 9.39e-01 94.0000
54 78.0000 1.56e-01 9.45e-01 94.0000
55 76.0000 1.50e-01 9.77e-01 93.0000
56 77.0000 1.59e-01 9.94e-01 93.0000
57 75.0000 1.69e-01 1.01e+00 93.0000
58 77.0000 1.37e-01 9.99e-01 94.0000
59 79.0000 1.32e-01 9.04e-01 95.0000
60 78.0000 1.26e-01 1.01e+00 95.0000
61 77.0000 1.61e-01 1.02e+00 94.0000
62 78.0000 1.45e-01 9.35e-01 94.0000
63 78.0000 1.55e-01 1.00e+00 94.0000
64 78.0000 1.64e-01 9.61e-01 93.0000
65 78.0000 1.48e-01 1.03e+00 94.0000
66 77.0000 1.50e-01 1.18e+00 94.0000
67 74.0000 2.02e-01 1.12e+00 92.0000
68 76.0000 1.68e-01 1.10e+00 93.0000
69 75.0000 1.62e-01 1.10e+00 93.0000
70 77.0000 1.82e-01 1.06e+00 92.0000
71 78.0000 1.45e-01 9.77e-01 94.0000
72 76.0000 1.41e-01 1.00e+00 94.0000
73 75.0000 1.58e-01 1.08e+00 93.0000
74 75.0000 1.73e-01 1.03e+00 93.0000
75 76.0000 1.67e-01 9.89e-01 93.0000
76 76.0000 1.55e-01 1.07e+00 93.0000
77 78.0000 1.36e-01 9.98e-01 94.0000
78 76.0000 1.27e-01 1.10e+00 95.0000
79 74.0000 1.35e-01 1.08e+00 94.0000
80 75.0000 1.33e-01 1.08e+00 95.0000
81 75.0000 1.43e-01 1.09e+00 94.0000
82 73.0000 1.31e-01 1.19e+00 95.0000
83 74.0000 1.46e-01 1.13e+00 94.0000
84 76.0000 1.31e-01 1.19e+00 95.0000
85 76.0000 1.44e-01 1.20e+00 94.0000
86 76.0000 1.23e-01 1.18e+00 95.0000
87 72.0000 1.44e-01 1.47e+00 94.0000
88 74.0000 1.66e-01 1.21e+00 93.0000
89 77.0000 1.59e-01 1.08e+00 94.0000
90 78.0000 1.27e-01 1.12e+00 95.0000
91 76.0000 1.20e-01 1.18e+00 95.0000
92 76.0000 1.23e-01 1.21e+00 94.0000
93 77.0000 1.27e-01 1.18e+00 95.0000
94 76.0000 1.20e-01 1.20e+00 95.0000
95 74.0000 1.04e-01 1.19e+00 95.0000
96 77.0000 1.07e-01 1.09e+00 96.0000
97 78.0000 1.23e-01 1.09e+00 95.0000
98 76.0000 1.23e-01 1.17e+00 95.0000
99 77.0000 1.38e-01 1.15e+00 94.0000
100 76.0000 1.47e-01 1.29e+00 94.0000
101 76.0000 1.27e-01 1.23e+00 94.0000
102 74.0000 1.04e-01 1.19e+00 96.0000
103 78.0000 1.18e-01 1.21e+00 95.0000
104 77.0000 1.21e-01 1.15e+00 95.0000
105 78.0000 1.01e-01 1.16e+00 96.0000
106 77.0000 9.56e-02 1.15e+00 96.0000
107 77.0000 1.15e-01 1.22e+00 95.0000
108 77.0000 1.05e-01 1.14e+00 96.0000
109 78.0000 1.17e-01 1.18e+00 95.0000
110 77.0000 1.10e-01 1.18e+00 95.0000
111 78.0000 1.11e-01 1.15e+00 95.0000
112 78.0000 1.23e-01 1.17e+00 95.0000
113 78.0000 1.16e-01 1.21e+00 95.0000
114 77.0000 1.36e-01 1.26e+00 94.0000
115 76.0000 1.21e-01 1.21e+00 95.0000
116 76.0000 1.16e-01 1.25e+00 95.0000
117 77.0000 1.09e-01 1.22e+00 96.0000
118 77.0000 1.03e-01 1.18e+00 96.0000
119 78.0000 9.58e-02 1.20e+00 96.0000
120 77.0000 1.20e-01 1.21e+00 95.0000
121 76.0000 1.22e-01 1.32e+00 95.0000
122 76.0000 1.18e-01 1.28e+00 95.0000
123 77.0000 1.10e-01 1.26e+00 95.0000
124 78.0000 1.20e-01 1.18e+00 95.0000
125 77.0000 1.13e-01 1.19e+00 95.0000
126 77.0000 1.08e-01 1.18e+00 96.0000
