#time pos_x pos_y pos_z ori_x ori_y ori_z vel_x vel_y vel_z angvel_x angvel_y angvel_z Fx Fy Fz Mx My Mz Pr0 Pr1 Pr2 Pr3 Pr4
0.000000000000000000e+00 -6.644740000000000091e-01 2.375069999999999959e-01 -4.075400000000001244e-02 1.698050071009493678e-02 -3.166113566244543875e-02 -5.334598181913299264e-01 1.154660426702390497e-03 6.543075751314970283e-04 -3.002117109429634084e-03 -1.054749048876415900e-02 8.465371402631467757e-02 1.364169629013008492e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 9.999999891851500955e-01 0.000000000000000000e+00 1.116914342820089071e-23 1.830540601685161190e-37 1.081484984921304900e-08
2.598166465759277344e-02 -6.644440000000000346e-01 2.375239999999999851e-01 -4.083200000000003493e-02 1.786270356368069301e-02 -2.962753302161758029e-02 -5.330780516604693986e-01 5.644029388810814767e-04 4.676481493585336034e-04 -9.352962987170672067e-04 9.664051145474934074e-03 2.209139144475195590e-02 -7.978719851737984614e-04 -2.090000000000369340e-03 2.139999999999808722e-03 -9.999999999763531378e-04 8.306290999999999718e-04 -3.800000000000469669e-04 -6.219999999999836771e-05 9.999999994065396081e-01 0.000000000000000000e+00 4.262789451848693086e-25 1.999978571050283090e-42 5.934603529527887460e-10
6.201243400573730469e-02 -6.644390000000000018e-01 2.375359999999999971e-01 -4.081200000000001493e-02 1.819380673929504866e-02 -3.078606502602276862e-02 -5.334722049074724914e-01 5.736865059206314611e-04 6.064685919732649847e-04 1.360456571182925949e-03 -6.993100308951184438e-03 -4.679347417428529610e-02 -3.855873484052738109e-03 5.059999999999842402e-03 -4.319999999999879492e-03 -5.299999999999727152e-02 1.325093100000000095e-03 3.699999999999814548e-04 -4.945999999999978192e-04 9.999999990171763997e-01 0.000000000000000000e+00 7.620630249600033784e-25 9.865146192746902211e-49 9.828236415626382749e-10
8.699059486389160156e-02 -6.644090000000000273e-01 2.375609999999999944e-01 -4.074900000000003519e-02 1.604322678454250806e-02 -3.186898112285341256e-02 -5.333723348451369084e-01 -1.100620333306842700e-03 -6.603721999838834018e-04 2.941657981746086635e-03 -2.308229091625991700e-02 -6.366030807625244758e-02 2.915018105185871421e-03 3.352999999999983771e-02 1.792000000000015802e-02 -9.999999999763531378e-04 -4.119289999999999654e-05 -1.000000000000111910e-03 3.972000000000003306e-04 9.999999979247210513e-01 0.000000000000000000e+00 1.805345312591236543e-24 3.951821399792065777e-48 2.075279008094096695e-09
1.119842529296875000e-01 -6.644940000000000291e-01 2.375029999999999919e-01 -4.066500000000000670e-02 1.558151835289578457e-02 -3.293882547976423325e-02 -5.334074542795517182e-01 -2.220882940823313547e-04 -8.883531763365170404e-04 1.462081269387334112e-03 -5.733944528468348442e-03 -3.025997644335910383e-02 2.862270146465212446e-03 1.555999999999979622e-02 -3.509999999999902087e-03 -7.999999999981355359e-03 1.952430000000000550e-05 -1.279999999999947846e-03 3.028000000000023728e-04 9.999999992019754647e-01 0.000000000000000000e+00 1.033723810248508756e-24 4.464557986083657558e-45 7.980245131819437153e-10
1.410231590270996094e-01 -6.644209999999999283e-01 2.375130000000000019e-01 -4.067000000000003945e-02 1.494459436523953855e-02 -3.311938412108750285e-02 -5.332538648376616841e-01 1.345336275015832084e-03 4.181450584506758066e-04 7.272087973064006916e-05 1.605286033502806471e-03 1.082764084465968717e-02 -9.395758086663729075e-04 8.499999999999729994e-03 -1.146000000000002572e-02 -8.400000000000318323e-02 5.914190999999999632e-04 -3.100000000000324718e-04 -4.579999999999861959e-05 9.999999994635375700e-01 0.000000000000000000e+00 1.392835348558628856e-24 4.525684737117813301e-43 5.364624295519855339e-10
1.669890880584716797e-01 -6.644200000000000106e-01 2.375259999999999871e-01 -4.066100000000000270e-02 1.596063732043750960e-02 -3.247089990731177878e-02 -5.334470368532531204e-01 -6.608711937047808890e-04 1.321742387405369277e-04 -1.453916626150098760e-03 3.973018099894164157e-02 3.407143180646514391e-02 -6.124753849522781256e-03 5.399999999999849365e-04 -9.609999999999896403e-03 -1.219999999999856755e-01 1.318623100000000138e-03 2.100000000000434852e-04 -3.885999999999993626e-04 9.999999992848117580e-01 0.000000000000000000e+00 2.230463602996440687e-24 4.003607963968584112e-43 7.151882375569043859e-10
1.939835548400878906e-01 -6.644559999999999356e-01 2.375199999999999811e-01 -4.074700000000003319e-02 1.767525917091106527e-02 -3.263549634538431832e-02 -5.334893887075002894e-01 2.307584474176363487e-04 4.038272829803298642e-04 -1.999906544284046732e-03 2.468909859186770722e-02 2.526617063723746517e-02 -2.635937151699683286e-03 1.075999999999988077e-02 -9.560000000000012932e-03 -1.999999999998181011e-02 -2.137539999999999867e-05 -1.149999999999984368e-03 -4.579999999999861959e-05 9.999999991524326504e-01 0.000000000000000000e+00 1.442397484986572119e-24 6.548201284829678091e-43 8.475674516295037386e-10
2.189915180206298828e-01 -6.644079999999999986e-01 2.375469999999999804e-01 -4.076499999999999568e-02 1.773518383817362931e-02 -3.199251533737434983e-02 -5.335257200462497629e-01 1.000025647683956253e-03 6.428736306552464185e-04 -6.428736306542551324e-04 -1.696744024735593595e-03 1.758524422965096479e-02 2.914247596283417625e-03 1.304999999999978400e-02 -4.729999999999900950e-03 -1.999999999981127985e-03 5.794900999999999221e-04 -1.900000000001345057e-04 -9.110000000000020859e-05 9.999999993868077253e-01 0.000000000000000000e+00 3.719680201915713009e-25 1.922545065667006719e-42 6.131922965801998475e-10
2.499821186065673828e-01 -6.643999999999999906e-01 2.375560000000000171e-01 -4.078300000000001369e-02 1.809438902806670413e-02 -3.173923235783560060e-02 -5.333129310657493960e-01 4.656218078654558398e-04 8.622626071639244221e-05 -1.207167650027579598e-04 -6.582839048948497217e-03 -9.549415285913452969e-03 -1.782299438399475569e-03 -8.520000000000305107e-03 5.770000000000052864e-03 -1.800000000000068212e-02 1.747893100000000180e-03 -2.299999999999524647e-04 -8.794999999999983387e-04 9.999999994497947853e-01 0.000000000000000000e+00 4.942630406988043453e-25 1.164002840405112584e-44 5.502051743593271274e-10
2.769784927368164062e-01 -6.643809999999999993e-01 2.375520000000000131e-01 -4.077200000000003044e-02 1.712445635199655314e-02 -3.227517607371543917e-02 -5.336488975312647653e-01 -1.296058340024585688e-04 -9.627861954496247810e-04 -1.481209531462542364e-04 -7.419277145034965104e-03 -2.441160730742958015e-02 -2.449806051148505364e-04 9.839999999999626823e-03 8.129999999999970584e-03 -8.699999999998908606e-02 1.183323100000000048e-03 -3.500000000000724754e-04 1.297999999999993603e-04 9.999999993548289723e-01 0.000000000000000000e+00 1.972189013285096752e-24 1.075027925921740746e-45 6.451710529179150555e-10
3.039920330047607422e-01 -6.644069999999999698e-01 2.375040000000000207e-01 -4.079100000000002169e-02 1.707854365794680973e-02 -3.267075942036790082e-02 -5.333583950178883981e-01 1.111000331115290387e-04 -9.443502814387458397e-04 -2.036833940354048310e-04 1.705941888186205541e-02 2.219972619776106049e-02 1.236730319691324055e-02 8.079999999999643023e-03 8.049999999999890576e-03 -1.299999999999954525e-01 2.251321000000000192e-04 -3.599999999999159428e-04 -1.959999999999809117e-05 9.999999994457203778e-01 0.000000000000000000e+00 4.088119578635662939e-24 4.370845634947827729e-42 5.542796015795498209e-10
3.309838771820068359e-01 -6.643749999999999378e-01 2.375009999999999899e-01 -4.078300000000001369e-02 1.852745768069263832e-02 -3.171082238506883755e-02 -5.329364759749144476e-01 -5.768881838598627831e-05 1.346072429016665316e-03 9.807099125703063955e-04 -5.173208641092361809e-03 1.965974192423820821e-02 1.401816156558365186e-03 1.070999999999999730e-02 -9.999999999998898659e-04 -1.239999999999952252e-01 1.490650999999999901e-04 -1.400000000000289901e-04 1.809000000000011987e-04 9.999999991843441238e-01 0.000000000000000000e+00 3.668052976996473797e-24 1.413391364025069724e-42 8.156558948708442966e-10
3.559951782226562500e-01 -6.644099999999999451e-01 2.375739999999999796e-01 -4.073999999999999844e-02 1.736681492409530847e-02 -3.165371985070208893e-02 -5.332753124844527015e-01 1.399914555969984230e-04 7.199560573691552194e-04 1.199926762283775602e-04 9.298056467017744645e-03 -7.666674915062277745e-03 1.104165369049917717e-02 7.549999999999723599e-03 1.383000000000000895e-02 -4.899999999997817213e-02 1.903643100000000036e-03 -1.200000000001200107e-04 -8.958999999999980868e-04 9.999999994427011263e-01 0.000000000000000000e+00 2.982132507632514509e-25 1.292935817987356049e-45 5.572989714260371365e-10
3.809869289398193359e-01 -6.643680000000000696e-01 2.375369999999999704e-01 -4.077700000000000768e-02 1.873310321363375053e-02 -3.227730676375095697e-02 -5.323772971656062225e-01 1.333654443601920694e-03 -5.099266990240076871e-04 -1.157141355479481990e-03 5.077386937007390133e-02 3.975582085980821495e-02 2.298968675909932730e-02 8.079999999999643023e-03 -3.319999999999989626e-03 -5.899999999999749889e-02 3.625870999999999695e-04 -1.000000000006551204e-05 -1.987999999999989775e-04 9.999999991251595777e-01 0.000000000000000000e+00 8.710591688223368956e-25 6.030236818160141453e-42 8.748403846661732819e-10
4.069828987121582031e-01 -6.643419999999999881e-01 2.375480000000000091e-01 -4.079900000000002969e-02 2.062748426271898694e-02 -3.122099260641064689e-02 -5.320002262483498612e-01 5.882559302875085784e-04 -5.882559302853316088e-04 -2.156938411044764694e-04 -1.418837432830143087e-03 -6.577839043701302381e-03 1.127607184534847040e-02 1.107999999999975671e-02 -2.041000000000003922e-02 -5.400000000000204636e-02 2.986090999999999529e-04 -4.100000000000214584e-04 6.600000000000008638e-05 9.999999994570637485e-01 0.000000000000000000e+00 1.011897907188682336e-24 4.382596164590692964e-44 5.429361858049764509e-10
4.319851398468017578e-01 -6.643379999999999841e-01 2.375069999999999959e-01 -4.078799999999999093e-02 1.850144427729283336e-02 -3.253027326938839892e-02 -5.318101221740603179e-01 -9.561557421659322084e-04 -1.619610746935257412e-03 1.307396627044893388e-03 -3.648226273227109240e-02 -5.427312540677611125e-02 -2.069555921253841274e-02 1.103999999999993875e-02 6.800000000000139266e-04 -9.999999999763531378e-04 5.014820999999999602e-04 -5.200000000000759570e-04 4.642000000000014170e-04 9.999999989554958502e-01 0.000000000000000000e+00 2.024169191613041476e-24 1.122411365438303145e-46 1.044504185857471958e-09
4.582297801971435547e-01 -6.643909999999999538e-01 2.374650000000000094e-01 -4.073199999999999044e-02 1.760303464042767274e-02 -3.266951635407133736e-02 -5.331567644029115982e-01 -1.370427343332954748e-03 -5.555786526978258533e-05 3.703857684686439694e-05 -2.375342590360464065e-02 -2.905858840626873978e-03 -3.456661640092351107e-02 1.114999999999977121e-02 1.216000000000017067e-02 -1.099999999999567990e-02 1.940163099999999991e-03 -3.200000000000979838e-04 -1.109399999999999969e-03 9.999999993280777044e-01 0.000000000000000000e+00 8.704864739929585395e-25 2.195816863010967251e-43 6.719222438839787371e-10
4.859828948974609375e-01 -6.644120000000000026e-01 2.375040000000000207e-01 -4.078599999999998893e-02 1.731731244316048191e-02 -3.201401608638843044e-02 -5.337148408472871530e-01 5.686754916001618768e-04 8.151015379601618104e-04 -1.156306832921942529e-03 -1.219084913681828253e-02 2.120012220523866207e-03 -1.543446509746977842e-02 1.319999999999987850e-02 3.199999999998759392e-04 -9.799999999998476596e-02 8.046280999999999746e-04 -1.000000000006551204e-05 -4.086999999999979538e-04 9.999999992002038818e-01 0.000000000000000000e+00 3.649906509169750682e-24 2.159173148425532423e-44 7.997960769565927124e-10
5.109839439392089844e-01 -6.643609999999999793e-01 2.375079999999999691e-01 -4.079300000000002369e-02 1.710572530715426254e-02 -3.224589647221165478e-02 -5.339871643237921184e-01 9.506267830760794461e-04 4.555086668900717333e-04 1.366526000670215254e-03 -1.155359463960805091e-02 -3.361794837401558406e-02 -6.780234906823567193e-03 6.969999999999920703e-03 3.400000000000069633e-04 -4.899999999997817213e-02 5.122600999999999847e-04 -1.349999999999962341e-03 1.529000000000009518e-04 9.999999992214886335e-01 0.000000000000000000e+00 1.654013638266617808e-24 1.751181391771805951e-46 7.785113010405353428e-10
